id,post_id,open_date,street,address,place_type,shop_centre,dns,lat,lon,response,district,post2,is_center,price,parking_count,parking_min_distance,finance_count,shop_count,distance_100,distance_500,cafe_count,culture_count,job_gov_count,metro_count,metro_min_distance,transport_count,transport_min_distance,working_days,work_hours,weekday_availability,office_hours,is_moscow
11674,111398.0,2017.0, ул. Плеханова,"ул. Плеханова, дом 30",ОПС Б1_2,False,False,55.7588747,37.7566226,"улица Плеханова, Перово, район Перово, Восточный административный округ, Москва, ЦФО, 111524, РФ",Перово, 111524,False,142918.0,30,53.73652545490953,1,10,2.6152857142857138,58.037,4,1,2,0,,16,115.57530894752514,6.0,11.0,1.0,['пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00'],True
13252,127560.0,2017.0, ул. Плещеева,"ул. Плещеева, дом 3",ОПС Б1_2,False,False,55.8907872,37.6219289,"улица Плещеева, Бибирево, район Бибирево, Северо-Восточный административный округ, Москва, ЦФО, 127560, РФ",Бибирево, 127560,False,135818.0,14,179.48032703441731,1,12,1.4255714285714285,42.80157142857143,3,1,4,0,,14,162.11215861706933,5.0,9.0,1.0,['вт.—сб.: 09:00—18:00 перерыв: 13:00—14:00'],True
14085,121069.0,2017.0, ул. Поварская,"ул. Поварская, дом 29 /36, стр.1",ОПС Б1_2,False,False,55.7546669,37.593731700000006,"Поварская улица, район Арбат, Центральный административный округ, Москва, ЦФО, 121069, РФ",Центральный административный округ, 121069,True,227892.0,7,266.86905236764744,6,7,5.192142857142857,78.83257142857143,21,25,35,0,,12,228.2972311523682,5.0,9.0,0.0,['пн.—пт.: 10:00—19:00'],True
9671,121433.0,2017.0, ул. Полосухина,"ул. Полосухина, дом 1/28",ОПС Б1_2,False,False,55.7360047,37.461250799999995,"улица Полосухина, Давыдково, район Фили-Давыдково, Западный административный округ, Москва, ЦФО, 121433, РФ",Фили-Давыдково, 121433,False,166804.0,14,235.7606667845025,0,6,3.875,29.981571428571428,4,0,6,1,418.4597935250882,13,40.36064860594018,6.0,11.0,1.0,"['пн., ср.—пт.: 09:00—20:00 вт., сб.: 09:00—18:00']",True
13253,127221.0,2017.0, ул. Полярная,"ул. Полярная, дом 16, к.1",ОПС Б1_2,False,False,55.8778846,37.636213,"Полярная улица, Заповедный уголок, район Южное Медведково, Северо-Восточный административный округ, Москва, ЦФО, 127282, РФ",Южное Медведково, 127282,False,148425.0,60,34.62718733767218,1,18,3.774714285714286,72.88685714285714,6,1,2,0,,17,111.81585122217686,6.0,11.0,1.0,"['пн.: 11:00—20:00, перерыв: 15:00—16:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00, перерыв: 12:00—13:00']",True
14959,127137.0,, ул. Правды,"ул. Правды, дом 24, к.2",ОПС Б1,False,False,55.78655790000001,37.5798409,"улица Правды, Беговой, район Беговой, Северный административный округ, Москва, ЦФО, 152040, РФ",Беговой, 152040,False,234945.0,25,230.06507743022166,3,11,0.1807142857142857,61.04657142857143,15,3,12,0,,10,157.88829796972396,6.0,11.0,1.0,,True
7561,119034.0,2016.0, ул. Пречистенка,"ул. Пречистенка, дом 15",ОПС Б1_2,False,False,55.744302299999994,37.6005777,"улица Пречистенка, Старое Ваганьково, Москва, Центральный административный округ, Москва, ЦФО, 119034, РФ",Москва, 119034,False,227892.0,2,49.061134071324176,4,11,6.264571428571428,83.87371428571429,16,22,20,0,,13,23.89225461728675,6.0,11.0,1.0,"['пн.: 11:00—20:00 вт.: 09:00—20:00 ср., чт.: 09:00—18:00 пт.: 09:00—20:00 сб.: 09:00—18:00']",True
7588,117321.0,2016.0, ул. Профсоюзная,"ул. Профсоюзная, дом 152 к.1",ОПС Б1_2,False,False,55.6797108,37.56548400000001,"Альфа-Банк, 15, Профсоюзная улица, Академический, Академический район, Юго-Западный административный округ, Москва, ЦФО, 117997, РФ",Профсоюзная улица, 117997,False,227892.0,29,91.3653519337168,1,9,1.6902857142857144,68.91814285714285,5,2,6,0,,6,242.54190581186097,6.0,11.0,1.0,"['пн.: 11:00—20:00, перерыв: 14:00—15:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00, перерыв: 13:00—14:00']",True
11474,127253.0,2017.0, ул. Псковская,"ул. Псковская, дом 6",ОПС Б1,False,False,57.448555000000006,29.18512,"Москва, Порховский район, Псковская область, Северо-Западный федеральный округ, РФ",Псковская область, Северо-Западный федеральный округ,False,227892.0,15,102.63839550420414,0,8,2.0415714285714284,35.70328571428571,0,0,1,0,,10,186.3491263227851,5.0,11.0,0.0,['пн.: 11:00—20:00 вт.—пт.: 09:00—18:00 перерыв: 13:00—14:00'],True
12753,115095.0,2017.0, ул. Пятницкая,"ул. Пятницкая, дом 54, стр. 2",ОПС Б1_2,False,False,53.9096201,27.5474045,"Москва, 13, улица Димитрова, Татарская Слобода, Центральный район, Минск, 722197, Беларусь",улица Димитрова, 722197,False,227892.0,15,65.34007205924637,23,7,4.833857142857143,100.43057142857144,29,5,23,2,695.5287937697461,11,195.6775617579599,6.0,11.0,1.0,['пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00'],True
